t 211Pb 211Bi 207Tl 207Pb
87.9 12 1 6 81
88.0 12 1 6 81
88.1 12 1 6 81
88.2 12 1 6 81
88.3 12 1 5 82
88.4 12 1 5 82
88.5 12 1 5 82
88.6 12 1 5 82
88.7 12 1 5 82
88.8 12 1 5 82
88.9 12 1 5 82
89.0 12 1 5 82
89.1 12 1 5 82
89.2 12 1 5 82
89.3 12 1 5 82
89.4 12 1 5 82
89.5 12 1 5 82
89.6 12 1 5 82
89.7 12 1 5 82
89.8 12 1 5 82
89.9 12 1 4 83
90.0 12 1 4 83
90.1 12 0 5 83
90.2 12 0 5 83
90.3 12 0 5 83
90.4 12 0 5 83
90.5 12 0 5 83
90.6 12 0 4 84
90.7 12 0 4 84
90.8 12 0 4 84
90.9 12 0 4 84
91.0 12 0 4 84
91.1 12 0 4 84
91.2 12 0 4 84
91.3 12 0 4 84
91.4 12 0 4 84
91.5 11 1 4 84
91.6 11 1 4 84
91.7 11 1 4 84
91.8 11 1 4 84
91.9 11 1 4 84
92.0 11 1 4 84
92.1 11 1 4 84
92.2 11 1 4 84
92.3 11 1 4 84
92.4 11 1 4 84
92.5 11 1 4 84
92.6 11 1 4 84
92.7 11 1 4 84
92.8 11 1 4 84
92.9 11 1 4 84
93.0 11 1 4 84
93.1 11 1 4 84
93.2 11 1 4 84
93.3 11 1 4 84
93.4 11 1 3 85
93.5 11 1 3 85
93.6 11 1 3 85
93.7 11 1 3 85
93.8 11 1 3 85
93.9 11 1 3 85
94.0 11 1 3 85
94.1 11 1 3 85
94.2 11 1 3 85
94.3 11 1 2 86
94.4 11 1 2 86
94.5 11 1 2 86
94.6 11 1 2 86
94.7 11 1 2 86
94.8 11 1 2 86
94.9 11 1 2 86
95.0 11 1 2 86
95.1 11 1 2 86
95.2 11 1 2 86
95.3 11 1 2 86
95.4 11 1 2 86
95.5 11 1 2 86
95.6 11 1 2 86
95.7 11 1 2 86
95.8 11 1 2 86
95.9 11 1 2 86
96.0 11 1 2 86
96.1 11 1 2 86
96.2 11 1 2 86
96.3 10 2 2 86
96.4 10 2 2 86
96.5 10 2 2 86
96.6 10 2 2 86
96.7 10 2 2 86
96.8 10 2 2 86
96.9 10 2 2 86
97.0 10 2 2 86
97.1 10 2 2 86
97.2 10 2 2 86
97.3 10 2 2 86
97.4 10 2 2 86
97.5 10 2 2 86
97.6 10 1 3 86
97.7 10 1 3 86
97.8 10 1 3 86
97.9 10 1 3 86
98.0 10 1 3 86
98.1 10 1 3 86
98.2 10 1 3 86
98.3 10 1 3 86
98.4 10 1 3 86
98.5 10 1 3 86
98.6 10 1 3 86
98.7 10 1 3 86
98.8 10 1 3 86
98.9 10 1 3 86
99.0 10 1 3 86
99.1 10 1 3 86
99.2 10 1 3 86
99.3 10 1 3 86
99.4 10 1 3 86
99.5 10 1 3 86
99.6 10 1 3 86
99.7 10 1 3 86
99.8 10 1 3 86
99.9 10 1 3 86
100.0 10 1 3 86
100.1 10 1 3 86
100.2 10 1 2 87
100.3 10 1 2 87
100.4 9 2 1 88
100.5 9 1 2 88
100.6 9 1 2 88
100.7 9 1 2 88
100.8 9 1 2 88
100.9 9 1 2 88
101.0 9 1 2 88
101.1 9 1 2 88
101.2 9 1 2 88
101.3 9 1 2 88
101.4 9 1 2 88
101.5 9 1 2 88
101.6 9 1 2 88
101.7 9 1 2 88
101.8 9 1 2 88
101.9 9 1 2 88
102.0 9 1 2 88
102.1 9 1 2 88
102.2 9 1 2 88
